"Round Id";StartDate;EndDate;Game;"Info (Request Id)";"Balance Before Real";"Balance Before Bonus";"Bet Amount Real";"Bet Amount Bonus";"Win Amount Real";"Win Amount Bonus";"Balance After Real";"Balance After Bonus"
p23939285:r2110310826540400025;"2021-10-31 08:26:54";"2021-10-31 08:26:54";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310826540400025<br/> <br />";17036.37;0;2;0;0;0;17034.37;0
p23939285:r2110310826510900029;"2021-10-31 08:26:51";"2021-10-31 08:26:51";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310826510900029<br/> <br />";17038.37;0;2;0;0;0;17036.37;0
p23939285:r2110310826480200013;"2021-10-31 08:26:48";"2021-10-31 08:26:48";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310826480200013<br/> <br />";17040.37;0;2;0;0;0;17038.37;0
p23939285:r2110310826450600011;"2021-10-31 08:26:45";"2021-10-31 08:26:45";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310826450600011<br/> <br />";17042.37;0;2;0;0;0;17040.37;0
p23939285:r2110310826401400013;"2021-10-31 08:26:40";"2021-10-31 08:26:44";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310826401400013<br/> <br />";17039.37;0;2;0;5;0;17042.37;0
p23939285:r2110310825331300047;"2021-10-31 08:25:33";"2021-10-31 08:26:37";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310825331300047<br/> <br />";16986.87;0;2;0;54.5;0;17039.37;0
p23939285:r2110310825300600034;"2021-10-31 08:25:30";"2021-10-31 08:25:30";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310825300600034<br/> <br />";16988.87;0;2;0;0;0;16986.87;0
p23939285:r2110310825281400001;"2021-10-31 08:25:28";"2021-10-31 08:25:28";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310825281400001<br/> <br />";16990.87;0;2;0;0;0;16988.87;0
p23939285:r2110310825241400035;"2021-10-31 08:25:24";"2021-10-31 08:25:24";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310825241400035<br/> <br />";16992.87;0;2;0;0;0;16990.87;0
p23939285:r2110310825190600024;"2021-10-31 08:25:19";"2021-10-31 08:25:24";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310825190600024<br/> <br />";16989.87;0;2;0;5;0;16992.87;0
p23939285:r2110310825160200021;"2021-10-31 08:25:16";"2021-10-31 08:25:16";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310825160200021<br/> <br />";16991.87;0;2;0;0;0;16989.87;0
p23939285:r2110310824570500005;"2021-10-31 08:24:57";"2021-10-31 08:25:13";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824570500005<br/> <br />";16893.87;0;2;0;100;0;16991.87;0
p23939285:r2110310824540400001;"2021-10-31 08:24:54";"2021-10-31 08:24:54";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824540400001<br/> <br />";16895.87;0;2;0;0;0;16893.87;0
p23939285:r2110310824501400034;"2021-10-31 08:24:50";"2021-10-31 08:24:50";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824501400034<br/> <br />";16897.87;0;2;0;0;0;16895.87;0
p23939285:r2110310824461000015;"2021-10-31 08:24:46";"2021-10-31 08:24:46";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824461000015<br/> <br />";16899.87;0;2;0;0;0;16897.87;0
p23939285:r2110310824430300007;"2021-10-31 08:24:43";"2021-10-31 08:24:43";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824430300007<br/> <br />";16901.87;0;2;0;0;0;16899.87;0
p23939285:r2110310824361100007;"2021-10-31 08:24:36";"2021-10-31 08:24:42";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824361100007<br/> <br />";16899.87;0;2;0;4;0;16901.87;0
p23939285:r2110310824330500032;"2021-10-31 08:24:34";"2021-10-31 08:24:34";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824330500032<br/> <br />";16901.87;0;2;0;0;0;16899.87;0
p23939285:r2110310824310800003;"2021-10-31 08:24:31";"2021-10-31 08:24:31";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824310800003<br/> <br />";16903.87;0;2;0;0;0;16901.87;0
p23939285:r2110310824251300034;"2021-10-31 08:24:25";"2021-10-31 08:24:30";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824251300034<br/> <br />";16903.37;0;2;0;2.5;0;16903.87;0
p23939285:r2110310824220300051;"2021-10-31 08:24:22";"2021-10-31 08:24:22";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824220300051<br/> <br />";16905.37;0;2;0;0;0;16903.37;0
p23939285:r2110310824191500013;"2021-10-31 08:24:19";"2021-10-31 08:24:19";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824191500013<br/> <br />";16907.37;0;2;0;0;0;16905.37;0
p23939285:r2110310824161300007;"2021-10-31 08:24:16";"2021-10-31 08:24:16";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824161300007<br/> <br />";16909.37;0;2;0;0;0;16907.37;0
p23939285:r2110310824131400002;"2021-10-31 08:24:13";"2021-10-31 08:24:13";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824131400002<br/> <br />";16911.37;0;2;0;0;0;16909.37;0
p23939285:r2110310824100400016;"2021-10-31 08:24:10";"2021-10-31 08:24:10";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824100400016<br/> <br />";16913.37;0;2;0;0;0;16911.37;0
p23939285:r2110310824041000003;"2021-10-31 08:24:04";"2021-10-31 08:24:09";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824041000003<br/> <br />";16912.87;0;2;0;2.5;0;16913.37;0
p23939285:r2110310824010400014;"2021-10-31 08:24:01";"2021-10-31 08:24:01";"Ozwin's Jackpots";"<b>Game ID:</b> yggdrasil_ozwins_jackpots_7345<br/> <b>Round ID:</b> p23939285:r2110310824010400014<br/> <br />";16914.87;0;2;0;0;0;16912.87;0
